Designator,Mid X,Mid Y,Rotation,Layer
C1,121.23,-81.8,270.0,bottom
C11,101.5,-52.8,270.0,bottom
C12,90.8,-53.0,270.0,bottom
C13,90.8,-56.3,90.0,bottom
C14,85.0,-48.2,180.0,bottom
C15,85.0,-58.5,180.0,bottom
C16,85.0,-68.1,180.0,bottom
C17,85.0,-78.2,180.0,bottom
C2,119.53,-81.8,270.0,bottom
C3,121.13,-71.700001,270.0,bottom
C4,119.430001,-71.700001,270.0,bottom
C5,121.03,-61.700001,270.0,bottom
C6,119.330001,-61.700001,270.0,bottom
C7,121.03,-51.7,270.0,bottom
C8,119.330001,-51.7,270.0,bottom
C9,97.3,-61.0,0.0,bottom
J0,128.73,-48.0,0.0,top
J1,101.6,-43.0,180.0,bottom
J10,112.6,-40.14,0.0,top
J2,128.73,-58.000001,0.0,top
J3,121.6,-40.14,0.0,top
J4,128.83,-68.000001,0.0,top
J5,97.18,-85.24,90.0,top
J6,128.93,-78.100001,0.0,top
J7,92.2,-84.8,0.0,top
J8,118.6,-40.14,0.0,top
J9,115.6,-40.14,0.0,top
R1,114.2,-70.1,270.0,top
R10,97.3,-55.7,0.0,bottom
R11,97.3,-57.4,180.0,bottom
R12,97.3,-59.2,0.0,bottom
R15,97.7,-69.8,180.0,bottom
R16,97.7,-68.0,180.0,bottom
R17,97.7,-64.5,180.0,bottom
R18,97.7,-66.3,180.0,bottom
R2,114.1,-60.3,270.0,top
R3,115.6,-50.4,270.0,top
R4,115.8,-85.1,90.0,top
R5,104.8,-69.1,0.0,bottom
R6,104.8,-67.3,0.0,bottom
R7,106.35,-52.5,0.0,bottom
R8,106.35,-54.15,0.0,bottom
RZ1,91.3,-74.53,0.0,top
SW1,88.25,-80.55,180.0,top
SW2,88.25,-70.55,180.0,top
SW3,88.25,-60.55,180.0,top
SW4,88.25,-50.55,180.0,top
U0,119.43,-49.9,90.0,top
U2,119.43,-59.900001,90.0,top
U4,119.53,-69.900001,90.0,top
U5,102.69,-42.2,270.0,top
U6,119.63,-80.0,90.0,top
